address,subdistrict_code,BEDROOMS,BATHROOMS,SIZE,PROPERTY TYPE,avg_distance_to_nearest_station,nearest_station_count,rent
2390,94,1.0,1.0,618.0,0,0.3,3,3958
260,-1,2.0,1.0,,9,0.5,3,2000
187,-1,2.0,2.0,,9,0.4,3,3098
1644,-1,2.0,1.0,,0,0.6,3,2500
836,-1,5.0,5.0,,8,0.4,3,9500
2658,-1,1.0,1.0,,9,1.2,3,1400
1111,-1,2.0,1.0,719.0,12,0.5,3,1900
2422,152,1.0,1.0,,0,0.3,3,2500
2377,-1,2.0,1.0,,0,0.6,3,2500
201,-1,1.0,1.0,,0,0.3,3,3100
2095,-1,1.0,1.0,,9,0.2,2,2500
1474,-1,1.0,1.0,560.0,9,0.3,3,1875
169,-1,2.0,1.0,,0,0.5,3,2700
1258,-1,1.0,1.0,,9,0.4,3,1450
1754,89,3.0,1.0,,23,1.1,3,2500
1683,122,2.0,1.0,,9,1.3,3,1250
1219,150,4.0,2.0,,25,0.4,3,4800
1890,-1,4.0,1.0,,5,0.8,3,3500
1735,176,,1.0,399.0,24,1.2,3,1230
1735,176,,1.0,399.0,24,1.2,3,1220
2576,-1,3.0,2.0,1334.0,9,0.3,3,5200
1509,-1,2.0,2.0,,0,0.6,3,1895
1435,-1,3.0,3.0,,9,0.3,3,5980
392,204,1.0,1.0,,9,0.2,3,3250
980,60,,,,0,0.6,3,1000
980,60,,,,0,0.6,3,1100
1679,84,,1.0,,9,0.5,3,1127
1679,84,,1.0,205.0,9,0.5,3,1170
1064,96,,1.0,,9,0.3,3,2232
2705,178,4.0,3.0,,25,0.5,3,10833
2639,-1,3.0,1.0,,23,0.6,3,2250
309,-1,2.0,2.0,,0,0.6,3,3250
1435,-1,2.0,2.0,,9,0.3,3,5620
794,-1,6.0,3.0,,14,2.0,3,4500
227,-1,2.0,1.0,,0,0.5,3,1900
